lane1 det1;lane1 det2;lane1 det3;lane1 det4;lane1 det5;lane1 det6;lane1 det7;lane1 det8;lane1 det9;lane1 det10;lane1 det11;lane1 det12;lane1 det13;lane1 det14;lane1 det15;lane1 det16;lane1 det17;lane1 det18;lane1 det19;lane1 det20;lane1 det21;lane1 det22;lane1 det23;lane1 det24;lane1 det25;lane1 det26;lane1 det27;lane1 det28;lane2 det1;lane2 det2;lane2 det3;lane2 det4;lane2 det5;lane2 det6;lane2 det7;lane2 det8;lane2 det9;lane2 det10;lane2 det11;lane2 det12;lane2 det13;lane2 det14;lane2 det15;lane2 det16;lane2 det17;lane2 det18;lane2 det19;lane2 det20;lane2 det21;lane2 det22;lane2 det23;lane2 det24;lane2 det25;lane2 det26;lane2 det27;lane2 det28;lane2 det29;lane2 det30;lane3 det1;lane3 det2;lane3 det3;lane3 det4;lane3 det5;lane3 det6;lane3 det7;lane3 det8;lane3 det9;lane3 det10;lane3 det11;lane3 det12;lane3 det13;lane3 det14;lane3 det15;lane3 det16;lane3 det17;lane3 det18;lane3 det19;lane3 det20;lane3 det21;lane3 det22;lane3 det23;lane3 det24;lane3 det25;lane3 det26;lane3 det27;lane3 det28;lane3 det29;lane3 det30;lane3 det31
115.868;132.266;133.14000000000001;128.194;125.20300000000002;130.702;123.48100000000001;106.396;101.677;99.32700000000001;133.947;130.791;116.12400000000001;107.89699999999998;98.16900000000001;99.79;89.963;87.30099999999999;102.94999999999999;102.666;110.64300000000001;113.71;107.51700000000001;101.97599999999998;103.242;101.44400000000002;100.102;103.70800000000001;131.90699999999998;131.128;132.471;128.975;98.40899999999999;101.06099999999996;113.09399999999998;123.59200000000001;108.071;52.312;120.95200000000001;120.40599999999999;120.89799999999997;119.679;126.04699999999998;132.736;123.42899999999997;122.13800000000003;116.94200000000001;114.24099999999999;111.19700000000003;113.829;114.375;114.255;115.39;135.665;112.08800000000001;110.725;108.161;108.21599999999998;121.9;125.975;122.85999999999999;122.71600000000001;124.77499999999998;129.432;180.63699999999997;82.165;191.27299999999997;118.87100000000001;115.67000000000002;129.58;130.112;130.457;124.245;132.379;115.675;106.19499999999998;92.68;96.56000000000002;91.42400000000002;92.95099999999998;112.01000000000002;118.546;120.491;95.06;80.895;93.11399999999999;103.53200000000002;103.162;102.19100000000002
116.10000000000002;132.529;133.27100000000002;128.289;125.26800000000001;130.769;123.61200000000001;106.52;101.8;99.76;134.046;130.916;116.27600000000001;108.054;98.25399999999999;100.00499999999998;90.315;87.30099999999999;102.94999999999999;102.82100000000003;110.697;113.92400000000002;107.75400000000002;102.212;103.31100000000002;101.619;100.294;104.074;131.91400000000002;131.24800000000002;132.561;128.425;117.55400000000002;83.20200000000001;113.936;123.635;108.09299999999999;52.31100000000001;121.013;120.46699999999998;120.95899999999997;119.735;126.189;132.858;123.47100000000002;122.103;116.94200000000001;114.19200000000001;110.90400000000001;113.585;114.476;114.346;114.93400000000001;127.79700000000001;121.362;110.80900000000001;108.23700000000001;108.23399999999998;121.889;125.99700000000001;122.85400000000001;122.69;125.126;128.64;170.91299999999998;102.74;200.055;115.404;115.73;129.785;130.31799999999998;130.611;124.33000000000001;132.766;115.21500000000002;104.962;93.285;96.758;91.83;93.33300000000001;112.465;118.771;121.17299999999997;106.06499999999998;82.539;85.47900000000001;103.56200000000001;103.19400000000002;102.19100000000002
116.12899999999999;132.66300000000004;133.463;128.553;125.516;131.002;123.935;106.832;102.09;99.55199999999999;134.133;130.94500000000002;116.37100000000001;108.252;98.26100000000001;100.28999999999998;90.45300000000002;87.30099999999999;102.94999999999999;102.82100000000003;110.697;113.92400000000002;107.75400000000002;102.212;103.31100000000002;101.619;100.294;104.13400000000001;131.933;131.44899999999998;132.661;128.57;129.57;70.13799999999999;116.68799999999999;123.697;108.139;52.31100000000001;121.06900000000002;120.507;120.95899999999997;119.735;126.189;132.888;123.23299999999999;122.225;116.948;114.39800000000001;112.009;113.757;114.476;114.37399999999998;114.844;116.76800000000001;133.85000000000002;110.82;108.256;108.23399999999998;121.767;125.975;122.98;122.69;125.257;128.829;147.46300000000002;135.88;139.153;159.758;115.819;129.963;130.37;130.67600000000002;124.31000000000002;132.891;115.47200000000001;105.36400000000002;93.402;97.16400000000003;91.946;93.065;112.45500000000001;118.92400000000002;121.57699999999998;116.745;83.052;82.82;102.006;103.19400000000002;102.19100000000002
116.49300000000001;132.697;133.463;128.553;125.584;131.043;123.88999999999999;106.80199999999999;102.09;99.55199999999999;134.133;130.94500000000002;116.32100000000003;108.252;98.47200000000001;100.47;90.46600000000001;87.30099999999999;102.94999999999999;102.82100000000003;110.697;113.92400000000002;107.861;102.212;103.346;101.619;100.294;104.13400000000001;131.98300000000003;131.472;132.661;128.57;135.602;77.19900000000001;108.27000000000002;122.26599999999999;108.139;52.31100000000001;121.06900000000002;120.507;120.95899999999997;119.735;126.189;133.02;123.338;121.75500000000002;116.948;114.397;112.34199999999998;113.64900000000002;114.486;114.377;114.84900000000002;113.79;142.28400000000002;110.77699999999999;108.256;108.23399999999998;121.887;126.07800000000002;123.01299999999999;122.70400000000001;125.46300000000001;128.851;133.922;161.028;82.69200000000001;206.53199999999998;115.90700000000001;129.963;130.37;130.68099999999998;124.33800000000001;133.17;115.61699999999999;105.20200000000001;92.67200000000001;97.49099999999999;92.04;93.322;112.41300000000001;119.01;121.60300000000001;120.35400000000001;88.62700000000001;81.411;94.404;103.19400000000002;102.19100000000002
116.305;132.76600000000002;133.463;128.553;125.51100000000001;130.983;123.88999999999999;106.80199999999999;102.09;99.55199999999999;134.133;130.94500000000002;116.32100000000003;108.252;98.58100000000002;100.68400000000001;90.491;87.30099999999999;102.954;102.887;110.697;113.95900000000002;107.861;102.212;103.346;101.619;100.294;104.13400000000001;131.98300000000003;131.472;132.661;128.57;132.364;98.90199999999999;91.181;117.42;108.13199999999999;52.31100000000001;121.06900000000002;120.507;120.95899999999997;119.735;126.189;133.053;123.85;121.817;116.948;114.45700000000001;112.896;113.72300000000001;114.49400000000001;114.377;114.86200000000001;113.57;134.679;115.44499999999998;108.256;108.25400000000002;121.6;126.07800000000002;123.01299999999999;122.71000000000002;125.429;128.899;129.93899999999996;170.887;79.10599999999998;182.283;125.12299999999999;129.963;130.37;130.69;124.67199999999998;133.661;116.40400000000001;104.287;92.21700000000003;98.24999999999999;93.771;95.08;112.311;118.917;121.60300000000001;120.50300000000001;99.531;81.611;87.15;103.19400000000002;102.205
116.36300000000001;132.794;133.463;128.553;125.51100000000001;130.983;123.93299999999999;106.80199999999999;102.09;99.55199999999999;134.133;130.94500000000002;116.32100000000003;108.258;98.58100000000002;100.89;90.513;87.30099999999999;102.954;102.887;110.697;113.95900000000002;108.012;102.27799999999999;103.346;101.619;100.32800000000002;104.13400000000001;131.98300000000003;131.466;132.661;128.562;127.38600000000001;118.169;77.94;118.413;108.133;52.31100000000001;121.06900000000002;120.507;120.95899999999997;119.735;126.189;133.10999999999999;124.145;121.96600000000001;116.948;114.456;113.376;113.76700000000001;114.49400000000001;114.377;114.86200000000001;113.27999999999999;122.194;125.243;108.256;108.25400000000002;121.91900000000001;126.08300000000001;123.01299999999999;122.71000000000002;125.274;129.328;129.05200000000002;155.332;105.748;115.32599999999998;146.84099999999998;129.965;130.40200000000002;130.69;124.24699999999999;133.761;117.43100000000003;105.281;89.31400000000002;98.176;92.993;93.36099999999999;112.67300000000002;119.03300000000002;121.55;120.522;111.74700000000001;81.356;83.949;103.132;102.22099999999999
116.546;132.93599999999998;133.515;128.553;125.51100000000001;130.983;123.93299999999999;106.80199999999999;102.09;99.55199999999999;134.11800000000002;131.048;116.32100000000003;108.258;98.62000000000002;100.89;90.52300000000001;87.39899999999997;102.94300000000001;102.87700000000001;110.697;113.95900000000002;108.012;102.27799999999999;103.346;101.619;100.32800000000002;104.13400000000001;131.98300000000003;131.466;132.66000000000003;128.562;127.388;131.575;76.857;114.024;108.13600000000001;52.31100000000001;121.073;120.507;120.95899999999997;119.735;126.189;133.11599999999999;124.18399999999998;122.06500000000001;117.00200000000001;114.435;113.684;113.76700000000001;114.49400000000001;114.377;114.86200000000001;113.28099999999999;113.229;135.72;108.256;108.25400000000002;121.99700000000001;126.08300000000001;123.01299999999999;122.71000000000002;125.274;129.201;129.041;132.771;144.15699999999998;79.702;179.61800000000002;130.053;130.476;130.712;123.67;133.075;117.64399999999999;104.93700000000001;88.745;97.8;95.44;94.072;112.65099999999998;119.09299999999999;121.54999999999998;120.546;116.48399999999998;83.315;80.87799999999999;101.015;102.23299999999999
116.494;133.0;133.517;128.553;125.51100000000001;130.983;123.93299999999999;106.80199999999999;102.09;99.55199999999999;134.11800000000002;131.221;116.32100000000003;108.258;98.62000000000002;100.904;90.37899999999999;87.543;102.98700000000001;102.98900000000002;110.69300000000001;113.95900000000002;108.012;102.27799999999999;103.346;101.619;100.32800000000002;104.13400000000001;131.98300000000003;131.466;132.66000000000003;128.562;127.48299999999999;139.144;89.75699999999999;99.961;106.755;52.31100000000001;121.073;120.507;120.95899999999997;119.735;126.18699999999998;133.11599999999999;124.38600000000001;121.835;116.969;114.45200000000001;113.51299999999998;113.46500000000002;114.49400000000001;114.377;114.866;113.053;111.78;138.644;108.25100000000002;108.25400000000002;121.475;126.08300000000001;123.01299999999999;122.69800000000001;125.48;129.344;128.992;126.57599999999998;166.858;89.71599999999998;151.565;158.59600000000003;130.476;130.71099999999998;123.84599999999999;132.957;118.14;105.97899999999998;88.22400000000002;96.835;95.63;94.079;112.65099999999998;119.07800000000002;121.54999999999998;120.546;117.28;92.73100000000001;79.971;95.089;102.23299999999999
116.976;132.986;133.60399999999998;128.553;125.51100000000001;130.983;123.93299999999999;106.80199999999999;102.09;99.55199999999999;134.16299999999998;131.386;116.32100000000003;108.258;98.62000000000002;100.904;90.37899999999999;87.60199999999999;103.126;103.008;110.79800000000002;113.95900000000002;108.012;102.27799999999999;103.346;101.619;100.32800000000002;104.13400000000001;131.98300000000003;131.466;132.66000000000003;128.52;127.45599999999999;137.327;108.74100000000003;88.08800000000001;105.39200000000001;52.391000000000005;121.073;120.516;120.993;119.735;126.18699999999998;133.11599999999999;124.667;121.67499999999998;117.03399999999999;114.23799999999997;113.421;113.459;114.49400000000001;114.377;114.779;113.037;111.80499999999998;129.71200000000002;113.00200000000001;108.25400000000002;122.33800000000001;126.08300000000001;123.01299999999999;122.80699999999999;125.50099999999999;129.72199999999998;128.95399999999998;127.40600000000002;151.44299999999998;119.85099999999998;76.232;202.56699999999998;130.628;130.704;123.02799999999999;133.00699999999998;118.63899999999998;105.61800000000001;90.61;96.23299999999999;94.796;93.52299999999997;112.649;119.21500000000002;121.557;120.546;117.178;104.726;79.637;88.852;102.24199999999999
117.26299999999999;133.006;133.59900000000002;128.553;125.51100000000001;130.983;123.93299999999999;106.80199999999999;102.177;99.55199999999999;134.22199999999998;131.386;116.42300000000002;108.258;98.62000000000002;100.939;90.655;87.60199999999999;103.16300000000003;103.008;110.79800000000002;113.95900000000002;108.037;102.27799999999999;103.346;101.619;100.32800000000002;104.13400000000001;131.995;131.466;132.69700000000003;128.52;127.455;131.966;124.96900000000001;80.892;105.791;52.391000000000005;121.073;120.516;120.994;119.766;126.18699999999998;133.00300000000001;124.60600000000001;121.59999999999998;117.03399999999999;114.23799999999997;113.44399999999997;113.351;114.49400000000001;114.377;114.78200000000001;113.04;111.71;117.55300000000001;122.36899999999997;108.25400000000002;122.43;126.08300000000001;123.01299999999999;122.87;125.50099999999999;129.613;129.30100000000002;126.551;120.57;161.804;89.53299999999999;177.226;135.206;130.704;123.37700000000001;133.08999999999997;119.119;105.881;90.265;95.70700000000001;96.334;92.82999999999998;112.49899999999998;119.17300000000002;121.603;120.546;117.01800000000001;112.70100000000001;79.99600000000001;84.92099999999999;102.24199999999999
117.237;133.006;133.59900000000002;128.553;125.51100000000001;130.983;123.93699999999998;106.80199999999999;102.177;99.55199999999999;134.22199999999998;131.441;116.44200000000001;108.258;98.62000000000002;101.15900000000002;90.655;87.73099999999998;103.16;103.005;110.79800000000002;113.95900000000002;108.037;102.27799999999999;103.346;101.619;100.32800000000002;104.13400000000001;132.085;131.466;132.77400000000003;128.52;127.45200000000001;132.16400000000002;130.60399999999998;91.03399999999999;94.17;52.391000000000005;121.073;120.516;120.994;119.756;126.199;133.03;124.78200000000001;121.72800000000001;117.02099999999999;114.235;113.51799999999999;113.18699999999998;114.49400000000001;114.377;114.78800000000001;113.04;111.743;113.117;130.705;108.275;122.73000000000002;126.08300000000001;123.01299999999999;122.87;125.665;129.54399999999998;129.39700000000002;126.35100000000003;118.64;167.889;103.34400000000001;115.103;178.095;130.704;123.861;133.418;120.12299999999999;106.71499999999997;90.62700000000001;95.39699999999999;95.23499999999999;93.02099999999999;112.589;119.17399999999999;121.603;120.546;116.977;113.64699999999999;83.713;82.399;101.439
116.845;132.989;133.59900000000002;128.553;125.51100000000001;130.983;124.05199999999999;106.80199999999999;102.177;99.55199999999999;134.22199999999998;131.441;116.445;108.258;98.62000000000002;101.32600000000001;90.76;87.73099999999998;103.205;103.05799999999999;110.79800000000002;113.95900000000002;108.037;102.27799999999999;103.346;101.619;100.32800000000002;104.13400000000001;132.085;131.466;132.77400000000003;128.39999999999998;127.46599999999998;132.39700000000002;131.772;108.66999999999999;80.996;52.391000000000005;121.073;120.516;120.994;119.756;126.199;133.05;124.19200000000001;121.72900000000001;117.084;114.262;113.472;113.204;114.49400000000001;114.377;114.78800000000001;112.98199999999999;111.66;113.258;134.486;108.601;123.292;126.08300000000001;123.01899999999999;122.87;125.68699999999998;129.563;129.504;126.212;118.733;148.20600000000002;117.51399999999998;96.725;196.578;130.697;122.448;133.716;120.368;106.74700000000001;91.811;95.73;94.899;92.37100000000001;112.53399999999998;119.77200000000002;121.72;120.546;116.62799999999999;114.315;94.295;81.468;93.97400000000002
116.835;133.05999999999997;133.59900000000002;128.63199999999998;125.51100000000001;130.983;124.05199999999999;106.80199999999999;102.177;99.55199999999999;134.22199999999998;131.441;116.48200000000001;108.258;98.62000000000002;101.32600000000001;90.76;87.76800000000003;103.123;103.17;110.79800000000002;113.95900000000002;108.22;102.29899999999999;103.346;101.619;100.32800000000002;104.13400000000001;132.085;131.543;132.77400000000003;128.39999999999998;127.493;132.37;127.08400000000002;125.071;81.402;52.391000000000005;121.073;120.516;120.994;119.756;126.199;133.05;124.01;121.73200000000001;117.084;114.38999999999999;113.64299999999997;113.03199999999998;114.49400000000001;114.413;114.78800000000001;112.98199999999999;111.66;113.4;127.079;108.325;123.32300000000001;126.082;123.01899999999999;122.87;125.68699999999998;129.563;129.657;125.988;118.45300000000002;121.647;137.612;121.765;145.143;158.029;123.557;134.01200000000003;121.227;107.41599999999997;93.57799999999999;95.446;96.892;92.601;112.53399999999998;119.29400000000001;121.72;120.546;116.495;114.226;103.94300000000001;80.577;83.975
117.49799999999999;132.673;133.59000000000003;128.554;125.51100000000001;130.983;124.05199999999999;106.80199999999999;102.177;99.55199999999999;134.22199999999998;131.441;116.57799999999999;108.359;98.62000000000002;101.32600000000001;90.76;87.76800000000003;103.123;103.17;110.79800000000002;113.95900000000002;108.22;102.29899999999999;103.346;101.619;100.32800000000002;104.13400000000001;132.085;131.708;132.77400000000003;128.39999999999998;127.493;132.399;125.623;131.675;92.829;52.37700000000001;121.073;120.516;121.006;119.85900000000001;126.243;133.05;124.19000000000001;121.64400000000002;117.15;114.37599999999999;113.947;112.62899999999999;114.49400000000001;114.413;114.78800000000001;112.90699999999998;111.66;113.40100000000001;116.088;108.652;123.39400000000002;126.12200000000001;123.01899999999999;122.87;125.82;129.563;129.718;126.294;118.05500000000002;121.79800000000002;152.944;139.77900000000002;92.404;203.16400000000002;123.15899999999999;134.331;121.786;107.29599999999999;94.64699999999999;93.20500000000001;96.888;90.79999999999998;112.53899999999997;119.304;121.77;120.567;116.537;114.238;107.581;81.667;78.863
117.37700000000001;132.72699999999998;133.60200000000003;128.63;125.55799999999999;131.033;124.05199999999999;106.80199999999999;102.177;99.55199999999999;134.22199999999998;131.441;116.63599999999998;108.359;98.62000000000002;101.32600000000001;90.76;87.76800000000003;103.12299999999999;103.087;110.84200000000001;113.95900000000002;108.22;102.29899999999999;103.346;101.619;100.32800000000002;104.13400000000001;132.085;131.774;132.77400000000003;128.333;127.51599999999999;132.25900000000001;125.56300000000002;129.017;108.189;52.36499999999999;120.171;120.516;121.006;119.85900000000001;126.243;133.05;124.19400000000002;121.68299999999999;117.16799999999999;114.588;113.947;112.62899999999999;114.49400000000001;114.413;114.721;112.90699999999998;111.637;113.319;110.935;113.11699999999999;123.694;126.147;123.01899999999999;122.87;125.82;129.563;129.714;126.346;118.01500000000001;121.88199999999999;131.795;165.55;113.726;175.28900000000002;131.447;134.053;122.156;106.292;94.601;90.234;95.48000000000002;90.96300000000001;112.77099999999999;119.304;121.77;120.567;116.537;114.28800000000001;108.55600000000003;84.33200000000001;76.879
