Ekin,Eterm,Epot,Eint,E,T,P,r1,r2,r12_abs,U12,F12,F1,Step
2617.1966187,1356.8316187,-2.78291999,1354.04869872,2614.41369872,327.58315897,56.47017511,,,0.39626541,-2.78291999,-7.80999785,,25
2617.22495814,1356.85995814,-2.93488561,1353.92507253,2614.29007253,327.59000103,56.48806993,,,0.39211513,-2.93488561,-5.84664978,,26
2617.24399667,1356.87899667,-3.08758781,1353.79140887,2614.15640887,327.59459755,56.50972714,,,0.38796481,-3.08758781,-3.32785557,,27
2617.25118419,1356.88618419,-3.23708575,1353.64909844,2614.01409844,327.59633285,56.53583902,,,0.38381447,-3.23708575,-0.13573012,,28
2617.24343114,1356.87843114,-3.37750583,1353.50092531,2613.86592531,327.59446101,56.56722628,,,0.37966413,-3.37750583,3.87184124,,29
2617.21699752,1356.85199752,-3.50020752,1353.35179,2613.71679,327.58807908,56.60486288,,,0.37551382,-3.50020752,8.86631356,,30
2617.1673584,1356.8023584,-3.59258668,1353.20977172,2613.57477172,327.57609459,56.64990607,,,0.37136356,-3.59258668,15.05471976,,31
2617.08904088,1356.72404088,-3.6363535,1353.08768738,2613.45268738,327.5571862,56.70373252,,,0.3672134,-3.6363535,22.68729576,,32
2616.97542599,1356.61042599,-3.60504628,1353.00537971,2613.37037971,327.52975588,56.76798206,,,0.36306338,-3.60504628,32.0668172,,33
2616.81850792,1356.45350792,-3.4604296,1352.99307831,2613.35807831,327.49187077,56.84461061,,,0.35891357,-3.4604296,43.56005116,,34
2616.60860074,1356.24360074,-3.14725737,1353.09634337,2613.46134337,327.44119237,56.93595426,,,0.35476403,-3.14725737,57.61182552,,35
2616.33398088,1355.96898088,-2.58562964,1353.38335124,2613.74835124,327.37489023,57.04480729,,,0.35061485,-2.58562964,74.76234323,,36
2615.98045057,1355.61545057,-1.65979453,1353.95565604,2614.32065604,327.28953654,57.17451682,,,0.34646616,-1.65979453,95.66852509,,37
2615.53080418,1355.16580418,-0.2016762,1354.96412798,2615.32912798,327.18097732,57.32909831,,,0.34231806,-0.2016762,121.13036102,,38
2614.96417499,1354.59917499,2.03345329,1356.63262829,2616.99762829,327.04417466,57.51337636,,,0.33817074,2.03345329,152.12349601,,39
2614.25523477,1353.89023477,5.40305345,1359.29328822,2619.65828822,326.87301349,57.73315667,,,0.33402439,5.40305345,189.83958557,,40
2613.37321187,1353.00821187,10.43104516,1363.43925703,2623.80425703,326.66006456,57.9954364,,,0.32987923,10.43104516,235.73634164,,41
2612.28068587,1351.91568587,17.88816026,1369.80384613,2630.16884613,326.39629335,58.30866165,,,0.32573558,17.88816026,291.5996713,,42
2610.93210684,1350.56710684,28.91260017,1379.47970702,2639.84470702,326.07070263,58.68304289,,,0.32159377,28.91260017,359.62090841,,43
2609.2719758,1348.9069758,45.19197299,1394.09894879,2654.46394879,325.66989316,59.13094159,,,0.31745425,45.19197299,442.49287557,,44
2607.23260912,1346.86760912,69.23873845,1416.10634757,2676.47134757,325.1775239,59.66734409,,,0.31331754,69.23873845,543.52941456,,45
2604.73139331,1344.36639331,104.80884872,1449.17524203,2709.54024203,324.57364928,60.31044216,,,0.30918428,104.80884872,666.81410988,,46
2601.66741831,1341.30241831,157.54038757,1498.84280587,2759.20780587,323.83390634,61.0823434,,,0.30505524,157.54038757,817.38521453,,47
2597.91735752,1337.55235752,235.93116327,1573.48352079,2833.84852079,322.92852004,62.00993876,,,0.3009314,235.93116327,1001.46526247,,48
2593.33044275,1332.96544275,352.83972887,1685.80517162,2946.17017162,321.82109004,63.12595859,,,0.29681392,352.83972887,1226.7454702,,49
2587.72236514,1327.35736514,527.79597588,1855.15334102,3115.51834102,320.46711822,64.47025186,,,0.29270422,527.79597588,1502.7366665,,50
2580.86792436,1320.50292436,790.5646661,2111.06759045,3371.43259045,318.81223391,66.09132509,,,0.28860406,790.5646661,1841.19988856,,51
