"math expect, disperc, sqrt mean, max_x, max_y, min_x, min_y"
103.78706018518518,2448.51284722,49.4824499,85,29265,0,0
102.4100921103395,2541.43752903,50.4126723,101,32712,0,0
100.82810812114198,2626.47966663,51.2491919,87,33970,0,0
100.3760865162037,2741.79612693,52.3621631,88,29255,0,0
100.25820071373457,2818.298085,53.0876453,88,32064,0,0
99.59860918209876,2867.17124074,53.5459732,88,28560,1,0
98.40019820601852,2959.33532606,54.3997732,86,26323,0,1
99.39518422067901,2988.50598221,54.6672295,87,26674,0,0
98.55775511188271,3007.85737229,54.8439365,254,26508,0,0
98.49940538194444,3031.90806967,55.0627648,254,26323,0,0
99.2204682677469,3000.68601517,54.7785178,95,26822,1,0
99.56544560185183,3006.72541595,54.8336157,254,26186,0,0
99.4540620177469,3010.50758878,54.8680926,254,26407,1,0
99.21896460262346,3017.51703955,54.931931,254,26431,0,0
98.5116657021605,3018.61108112,54.9418882,254,26164,0,0
98.75237798996913,3006.35108062,54.8302023,254,26317,0,0
98.34422116126544,3013.02353677,54.8910151,94,26221,0,0
98.21162712191358,3027.35718927,55.0214248,94,26641,0,3
98.11246672453704,3028.92921997,55.0357086,94,26554,0,3
97.63423369984568,2698.64400195,51.9484745,122,24122,1,25
97.7952165316358,2704.4456298,52.0042847,123,24395,0,13
97.24907214506175,2686.2017584,51.8285805,123,23862,0,30
97.79677372685185,2722.62012173,52.1787325,123,24044,1,38
97.70944637345679,2718.85483688,52.1426393,123,23997,1,29
97.21639033564814,2704.7532654,52.0072424,122,23212,0,41
97.56304060570989,2715.87278418,52.1140363,123,24816,2,42
97.54484567901234,2713.4407271,52.0906971,123,24241,1,45
97.53876012731482,2701.47476501,51.9757132,123,24620,1,44
97.47164255401233,2682.05010249,51.7885132,123,23877,1,32
97.77934172453703,2699.47499289,51.9564721,123,25142,1,45
97.63804880401234,2691.87979669,51.8833287,123,25416,2,57
97.929765625,2709.9254404,52.0569442,123,25123,1,38
97.63057773919753,2663.84145254,51.6124157,123,26118,1,31
97.4783666087963,2658.58343632,51.561453,123,27161,1,29
98.0668108603395,2661.43802618,51.589127,123,26093,1,10
98.25051552854939,2652.57397953,51.5031453,123,25606,0,8
98.73658564814816,2656.56671724,51.5418928,123,25772,0,22
98.92229311342592,2660.44589981,51.5795105,123,26298,1,27
